"","timestamp","open BTCUSDT","high BTCUSDT","low BTCUSDT","close BTCUSDT","volume BTCUSDT","closetime BTCUSDT","quote_avg BTCUSDT","trades BTCUSDT","open DASHUSDT","high DASHUSDT","low DASHUSDT","close DASHUSDT","volume DASHUSDT","closetime DASHUSDT","quote_avg DASHUSDT","trades DASHUSDT","open ZRXUSDT","high ZRXUSDT","low ZRXUSDT","close ZRXUSDT","volume ZRXUSDT","closetime ZRXUSDT","quote_avg ZRXUSDT","trades ZRXUSDT","open ETHUSDT","high ETHUSDT","low ETHUSDT","close ETHUSDT","volume ETHUSDT","closetime ETHUSDT","quote_avg ETHUSDT","trades ETHUSDT","open LTCUSDT","high LTCUSDT","low LTCUSDT","close LTCUSDT","volume LTCUSDT","closetime LTCUSDT","quote_avg LTCUSDT","trades LTCUSDT","open XMRUSDT","high XMRUSDT","low XMRUSDT","close XMRUSDT","volume XMRUSDT","closetime XMRUSDT","quote_avg XMRUSDT","trades XMRUSDT","open XRPUSDT","high XRPUSDT","low XRPUSDT","close XRPUSDT","volume XRPUSDT","closetime XRPUSDT","quote_avg XRPUSDT","trades XRPUSDT"
"11","2019-04-08",5170.27,5305,5039,5236.9,50178.430782,"2019-04-08 23:59:59.999",260487077.767567,350828,135.17,137.85,128.67,135.3,5806.88245,"2019-04-08 23:59:59.999",783436.0807374,3976,0.354,0.3686,0.3315,0.346,1479290.01,"2019-04-08 23:59:59.999",517440.2434,3579,174.29,185.87,170.9,178.72,873410.07285,"2019-04-08 23:59:59.999",156417981.302118,272413,91.55,94,85.2,88.57,439909.33843,"2019-04-08 23:59:59.999",39092277.7488787,93697,69.35,72.27,67.4,70.47,17181.60679,"2019-04-08 23:59:59.999",1204390.671498,5011,0.36149,0.37012,0.34365,0.35568,128130260.7,"2019-04-08 23:59:59.999",45648808.499445,120076
"12","2019-04-09",5238.38,5238.4,5076.68,5150,34067.012311,"2019-04-09 23:59:59.999",175633627.316373,253381,135.2,135.52,128.84,131.4,3535.66865,"2019-04-09 23:59:59.999",465028.5985289,2452,0.346,0.3681,0.3345,0.3557,1868281.54,"2019-04-09 23:59:59.999",660000.131255,4084,178.71,179.17,171.05,174.6,431986.36108,"2019-04-09 23:59:59.999",75745619.5720787,156659,88.57,88.71,82.61,86.17,317748.78519,"2019-04-09 23:59:59.999",27340412.18294,71074,70.42,70.55,66.82,67.75,14689.79196,"2019-04-09 23:59:59.999",1002093.007274,3797,0.35558,0.35574,0.34385,0.34732,68738132.8,"2019-04-09 23:59:59.999",23969116.478163,72785
"13","2019-04-10",5150,5422,5135,5308.25,40073.620471,"2019-04-10 23:59:59.999",210870034.512055,260967,131.32,133.38,126.43,129.74,4500.68937,"2019-04-10 23:59:59.999",588022.0774125,3436,0.3554,0.3568,0.3438,0.3498,1925538.46,"2019-04-10 23:59:59.999",675237.159108,3089,174.58,183.77,168,177.12,523943.20498,"2019-04-10 23:59:59.999",93283836.587114,171960,86.19,91.1,85.91,88.16,315727.23676,"2019-04-10 23:59:59.999",27802373.2737036,64232,67.75,72,67.49,70.86,13288.04389,"2019-04-10 23:59:59.999",928244.5858518,3604,0.34728,0.3578,0.34608,0.35345,75219953.7,"2019-04-10 23:59:59.999",26594313.52442,75488
"14","2019-04-11",5307.86,5332.67,4927,5017.37,54696.600686,"2019-04-11 23:59:59.999",277736905.857498,369304,129.73,129.84,113.2,122.3,7797.38187,"2019-04-11 23:59:59.999",944041.2156357,4215,0.3498,0.3498,0.3041,0.3162,1994234.27,"2019-04-11 23:59:59.999",647217.657418,4116,177.12,177.48,158.27,164.07,661305.30321,"2019-04-11 23:59:59.999",110201659.947876,224876,88.16,88.45,74.64,78.88,663804.98498,"2019-04-11 23:59:59.999",52734752.5700692,117159,70.64,71.17,61.51,65.97,17040.10943,"2019-04-11 23:59:59.999",1116819.1872761,4843,0.3535,0.35377,0.3191,0.32705,141965465.9,"2019-04-11 23:59:59.999",46956927.984737,113160
"15","2019-04-12",5017.37,5080.58,4861.22,5048.01,33276.678614,"2019-04-12 23:59:59.999",166485761.079312,226036,122.3,123.03,114.98,118.93,4715.41854,"2019-04-12 23:59:59.999",559828.435523,2683,0.3162,0.3276,0.3003,0.3204,1145078.73,"2019-04-12 23:59:59.999",360776.291618,2589,164.06,166.5,158.11,163.19,316337.87823,"2019-04-12 23:59:59.999",51556919.1461367,124732,78.9,80.43,75,78.47,351092.11924,"2019-04-12 23:59:59.999",27388660.7258404,61573,66.1,68.5,64.36,65.73,12377.68428,"2019-04-12 23:59:59.999",824414.3164161,3868,0.3271,0.3282,0.31391,0.32325,72144027.4,"2019-04-12 23:59:59.999",23275540.851039,66068
"16","2019-04-13",5047,5099,5004,5045.22,17292.456802,"2019-04-13 23:59:59.999",87375984.4446151,138674,118.72,119.84,117.11,119.1,1390.26356,"2019-04-13 23:59:59.999",165176.8205364,1113,0.3193,0.3236,0.3119,0.3153,523367.22,"2019-04-13 23:59:59.999",165709.13885,1104,163.2,165.37,160.74,162.99,179237.74574,"2019-04-13 23:59:59.999",29247030.1526373,75202,78.43,81.02,75.51,77.62,276710.7109,"2019-04-13 23:59:59.999",21674683.2126471,45563,65.39,67.36,63.07,64.92,9722.91175,"2019-04-13 23:59:59.999",625782.9994219,2658,0.32314,0.3359,0.31936,0.32458,67170066.4,"2019-04-13 23:59:59.999",21933335.561958,59615
"17","2019-04-14",5047.45,5152.99,5000,5131.3,18281.607739,"2019-04-14 23:59:59.999",92594930.4271013,131700,119.1,123.16,117.88,122.57,1796.90255,"2019-04-14 23:59:59.999",216986.9385978,1639,0.315,0.3233,0.3071,0.3226,1220403.53,"2019-04-14 23:59:59.999",383005.763091,2108,162.99,168.11,161.2,167.23,186977.66211,"2019-04-14 23:59:59.999",30640985.0609499,72468,77.58,83.6,76.09,83.28,242418.41303,"2019-04-14 23:59:59.999",19179352.734823,45159,64.82,67,63.81,66.25,9393.30988,"2019-04-14 23:59:59.999",614941.0484138,2370,0.32459,0.33,0.32121,0.32762,36641180.9,"2019-04-14 23:59:59.999",11897726.92004,38224
"18","2019-04-15",5131.28,5167.38,4950,5024.95,29057.191581,"2019-04-15 23:59:59.999",147687551.941477,204944,122.57,123.78,115.04,118.56,2777.43757,"2019-04-15 23:59:59.999",332059.4486977,2334,0.3224,0.334,0.3011,0.3083,1723804.03,"2019-04-15 23:59:59.999",549849.444718,3083,167.21,168.81,155.7,159.95,351548.9079,"2019-04-15 23:59:59.999",57215098.1117043,113590,83.31,84.41,75,78.07,437925.65449,"2019-04-15 23:59:59.999",35039724.5357955,76889,66.32,66.82,63.27,63.91,6987.37941,"2019-04-15 23:59:59.999",458831.2099804,2611,0.32761,0.33184,0.31311,0.31905,60520268.3,"2019-04-15 23:59:59.999",19512733.390887,54094
"19","2019-04-16",5024.95,5197.72,5003.94,5173.72,24242.229493,"2019-04-16 23:59:59.999",123581651.712164,168550,118.48,131,115.54,120.61,5110.50898,"2019-04-16 23:59:59.999",610778.070539,2883,0.308,0.3234,0.3059,0.3225,1388489.86,"2019-04-16 23:59:59.999",437757.01732,1844,159.91,166.73,159.41,165.37,240370.50441,"2019-04-16 23:59:59.999",39245823.494595,82937,78.06,81.49,76.88,80.27,295134.17728,"2019-04-16 23:59:59.999",23370026.8609958,51337,63.81,69.66,63.41,68.16,10606.91949,"2019-04-16 23:59:59.999",703025.6786501,3936,0.31889,0.325,0.31541,0.32379,43657398.1,"2019-04-16 23:59:59.999",13974983.002732,38362
"20","2019-04-17",5173.72,5230.4,5146.8,5202.82,23307.536134,"2019-04-17 23:59:59.999",120972345.518216,179490,120.5,122.33,118.44,120.08,2189.18509,"2019-04-17 23:59:59.999",261513.7783405,1716,0.3225,0.3324,0.3174,0.3309,960859.37,"2019-04-17 23:59:59.999",311102.684887,1725,165.41,167.28,163.78,165.75,227841.54981,"2019-04-17 23:59:59.999",37678036.5964673,85475,80.27,81.5,78,78.77,232336.81062,"2019-04-17 23:59:59.999",18452843.5923519,44802,68.16,69.4,66.23,67.01,8379.57723,"2019-04-17 23:59:59.999",565536.8838904,2888,0.324,0.341,0.319,0.33436,104205590.3,"2019-04-17 23:59:59.999",34394029.835788,85665
"21","2019-04-18",5202.41,5287,5198.8,5258.44,22619.239001,"2019-04-18 23:59:59.999",118573129.865201,167110,119.94,125.59,119.7,123.52,5542.19338,"2019-04-18 23:59:59.999",682414.4079162,3413,0.3321,0.3369,0.3273,0.331,1434543.97,"2019-04-18 23:59:59.999",476828.479937,2291,165.75,175.2,165.04,173.33,396118.94407,"2019-04-18 23:59:59.999",68031293.2325779,114728,78.82,83.66,78.74,81.68,328509.77037,"2019-04-18 23:59:59.999",26614059.4859404,56768,67.02,69.88,67.02,68.74,8005.32478,"2019-04-18 23:59:59.999",547657.6421862,2829,0.33435,0.34671,0.33116,0.33533,89265139.5,"2019-04-18 23:59:59.999",30166552.68147,74098
"22","2019-04-19",5258.44,5320,5175,5258.68,24611.236323,"2019-04-19 23:59:59.999",128937309.638064,178148,123.54,123.82,119.45,122.11,3781.2912,"2019-04-19 23:59:59.999",459073.957825,2149,0.331,0.331,0.3211,0.3269,978178.8,"2019-04-19 23:59:59.999",318261.217522,1795,173.34,173.55,168.59,172.64,320541.72166,"2019-04-19 23:59:59.999",54991300.1097207,104551,81.67,83.17,79.48,82.05,265365.49383,"2019-04-19 23:59:59.999",21606124.7509276,51033,68.71,69.4,67.03,68.27,6030.19858,"2019-04-19 23:59:59.999",412528.7000438,2339,0.33525,0.33537,0.32606,0.32999,56599475.8,"2019-04-19 23:59:59.999",18667104.947315,54644
"23","2019-04-20",5258.68,5333.42,5230.1,5291.73,19168.908274,"2019-04-20 23:59:59.999",101343660.153244,157080,121.87,124.47,121.3,123.1,1741.75754,"2019-04-20 23:59:59.999",212969.7483655,1802,0.3258,0.3283,0.3186,0.3217,687145.61,"2019-04-20 23:59:59.999",222115.512832,1435,172.66,176.97,169.87,172.88,253596.48407,"2019-04-20 23:59:59.999",43939979.0160537,94403,82.05,82.69,79.33,81.15,209481.54759,"2019-04-20 23:59:59.999",17009020.0094766,39086,68.29,69.96,67.12,69.35,9803.32069,"2019-04-20 23:59:59.999",674526.5955778,3092,0.33008,0.33241,0.321,0.32668,50641661.9,"2019-04-20 23:59:59.999",16621332.270968,51440
"24","2019-04-21",5292.91,5314.35,5165,5256.14,25549.570939,"2019-04-21 23:59:59.999",133929931.150687,210494,123.27,123.72,117.22,121.19,3007.97153,"2019-04-21 23:59:59.999",363943.2311493,2292,0.3218,0.325,0.302,0.3146,838529.28,"2019-04-21 23:59:59.999",260461.311716,1815,172.89,173.48,164.82,168.59,283450.43943,"2019-04-21 23:59:59.999",47781349.4020958,108394,81.16,81.85,72.86,76.65,405449.35652,"2019-04-21 23:59:59.999",30882393.8202287,70164,69.19,69.99,66.45,68.29,5720.06413,"2019-04-21 23:59:59.999",388365.2748423,2225,0.32673,0.32815,0.31356,0.31963,56724369.4,"2019-04-21 23:59:59.999",18142346.664763,61037
"25","2019-04-22",5257.41,5400,5208.35,5357.14,29563.852309,"2019-04-22 23:59:59.999",156632202.970996,210361,121.22,122.88,118.75,121.65,1540.87078,"2019-04-22 23:59:59.999",186644.2404521,1681,0.3126,0.3152,0.3075,0.312,785983.85,"2019-04-22 23:59:59.999",244967.576498,1617,168.59,172.3,167,170.52,269868.39876,"2019-04-22 23:59:59.999",45832751.057015,96396,76.61,77.63,74.9,76.51,285737.83886,"2019-04-22 23:59:59.999",21814764.7461896,47107,68.18,69.05,67.19,68.17,11642.48789,"2019-04-22 23:59:59.999",793763.1871881,2538,0.31972,0.3306,0.31624,0.32252,66794738.7,"2019-04-22 23:59:59.999",21587169.332023,65901
"26","2019-04-23",5357.14,5600,5332.41,5493.31,41262.103917,"2019-04-23 23:59:59.999",227154061.857714,282563,122.15,125.38,117.05,117.05,1997.62099,"2019-04-23 23:59:59.999",244125.8332507,2229,0.3119,0.3149,0.3,0.3003,1047776.02,"2019-04-23 23:59:59.999",322663.23834,2120,170.52,175.83,167.78,169.16,363523.34531,"2019-04-23 23:59:59.999",62784241.170476,126520,76.47,79.29,73.33,73.7,408341.22655,"2019-04-23 23:59:59.999",31534100.588167,66747,68.22,70.75,67.44,68.29,16321.11545,"2019-04-23 23:59:59.999",1133686.3649003,4229,0.32232,0.32647,0.31684,0.31807,54953934,"2019-04-23 23:59:59.999",17746937.169932,62109
"27","2019-04-24",5490.91,5582.2,5333.35,5415,48224.152413,"2019-04-24 23:59:59.999",262493252.935842,339599,117,120.28,110.8,115.02,5968.04325,"2019-04-24 23:59:59.999",690011.9844341,3453,0.3003,0.3007,0.2778,0.2885,1753123.29,"2019-04-24 23:59:59.999",504420.467015,3102,169.15,169.87,159.26,164.78,426497.04153,"2019-04-24 23:59:59.999",70076178.2845027,154469,73.67,74.69,69.9,72.85,466422.90922,"2019-04-24 23:59:59.999",33586009.2516322,85563,68.29,70.45,64.36,67.31,21241.3665,"2019-04-24 23:59:59.999",1422343.2041144,6219,0.31802,0.31989,0.2888,0.29963,117021557.4,"2019-04-24 23:59:59.999",35150213.668001,104260
"28","2019-04-25",5415,5491.84,5102,5219.9,49636.089948,"2019-04-25 23:59:59.999",265091565.61466,331089,115.45,118,106.91,108.89,4092.0347,"2019-04-25 23:59:59.999",467128.6640777,2332,0.2884,0.2916,0.2687,0.2753,1418650.88,"2019-04-25 23:59:59.999",396972.649319,2551,164.78,165.49,150.35,154.72,422657.03239,"2019-04-25 23:59:59.999",67326464.6484704,139927,72.85,74.43,70.6,71.78,307408.70386,"2019-04-25 23:59:59.999",22353656.7217245,60462,67.37,67.48,61.49,61.49,12369.12256,"2019-04-25 23:59:59.999",799299.2742921,3435,0.29971,0.30581,0.28455,0.29161,89489236.1,"2019-04-25 23:59:59.999",26604585.6946,84302
"29","2019-04-26",5220.47,5510,5161.62,5314.1,48912.294513,"2019-04-26 23:59:59.999",259659705.651386,333183,108.89,114.33,106.38,110.27,3136.99664,"2019-04-26 23:59:59.999",345503.8357748,1895,0.2748,0.2805,0.26,0.2708,895889.08,"2019-04-26 23:59:59.999",240754.388698,1889,154.7,162.56,151.4,157.95,500355.86283,"2019-04-26 23:59:59.999",78334214.8744062,162730,71.79,76.5,70.31,73.82,345014.87676,"2019-04-26 23:59:59.999",25320328.5480487,67301,61.7,65.42,60.03,62.5,13292.24296,"2019-04-26 23:59:59.999",835631.243087,3939,0.29162,0.30491,0.28839,0.3035,72046167.9,"2019-04-26 23:59:59.999",21424107.746478,76073
"30","2019-04-27",5315,5342.5,5257.67,5295.69,15422.896935,"2019-04-27 23:59:59.999",81749716.4217444,145733,110.27,111.43,108.76,110.01,1345.45349,"2019-04-27 23:59:59.999",148305.9171423,967,0.2719,0.2914,0.2704,0.2873,503989.63,"2019-04-27 23:59:59.999",142538.040593,960,157.93,166.24,156.35,159.31,215918.63842,"2019-04-27 23:59:59.999",34294277.9954465,89809,73.83,74.01,71.83,72.23,102336.98217,"2019-04-27 23:59:59.999",7467848.3762795,23348,62.45,64.58,62,63.12,11767.77602,"2019-04-27 23:59:59.999",743656.2262583,2609,0.3034,0.30499,0.2975,0.29928,32921334.6,"2019-04-27 23:59:59.999",9887345.470263,44419
"31","2019-04-28",5295.69,5340,5259.48,5307.52,14371.433869,"2019-04-28 23:59:59.999",76277087.3742408,127730,110.01,111.48,108.88,110.73,1248.18569,"2019-04-28 23:59:59.999",137884.4274206,1012,0.2878,0.2903,0.2768,0.2791,807136.4,"2019-04-28 23:59:59.999",229187.879539,1308,159.32,160.24,156.92,157.85,152976.30181,"2019-04-28 23:59:59.999",24304182.1410825,72048,72.24,72.72,68.95,69.89,218635.58959,"2019-04-28 23:59:59.999",15458571.1783797,42004,63,63.54,61.42,62.07,3725.81523,"2019-04-28 23:59:59.999",233076.8149664,1451,0.29942,0.30278,0.29535,0.29946,27792665.6,"2019-04-28 23:59:59.999",8317449.559428,39891
"32","2019-04-29",5309.81,5332,5178.8,5238.14,19918.135079,"2019-04-29 23:59:59.999",104822151.51445,178472,110.72,111.5,106.77,107.72,3402.18252,"2019-04-29 23:59:59.999",372481.1560785,1536,0.2789,0.2819,0.2634,0.2738,561165.85,"2019-04-29 23:59:59.999",153118.614109,1336,157.86,159.05,152,155.11,243591.94898,"2019-04-29 23:59:59.999",37892463.2904875,98779,69.89,70.37,66.5,67.87,203603.18601,"2019-04-29 23:59:59.999",13896456.9662964,42178,61.92,62.56,60.11,61.08,5090.66645,"2019-04-29 23:59:59.999",312348.4698718,1302,0.29948,0.30161,0.28959,0.29323,40369249.3,"2019-04-29 23:59:59.999",11919113.759627,50409
"33","2019-04-30",5238.14,5339.98,5192.15,5320.81,22238.06823,"2019-04-30 23:59:59.999",117309839.230798,180989,107.72,111.71,106.93,110.98,1939.30731,"2019-04-30 23:59:59.999",213068.0347335,1192,0.2738,0.2822,0.2689,0.2788,466354.32,"2019-04-30 23:59:59.999",128922.526287,1105,155.14,162.89,155.11,161.83,305056.24653,"2019-04-30 23:59:59.999",48352308.3471109,109233,67.86,74.74,67.86,74.32,354469.13538,"2019-04-30 23:59:59.999",25357609.0003327,67909,61.08,62.78,60.69,62.55,7116.48954,"2019-04-30 23:59:59.999",440965.8752368,1705,0.29313,0.31249,0.29154,0.3087,79732128.9,"2019-04-30 23:59:59.999",24312231.569515,84159
"34","2019-05-01",5321.94,5402,5316.2,5383.2,17217.473216,"2019-05-01 23:59:59.999",92194935.6047804,161488,111.04,119.41,110.98,116.47,3771.25114,"2019-05-01 23:59:59.999",436457.1359161,2477,0.2786,0.2821,0.2742,0.2767,442190.45,"2019-05-01 23:59:59.999",123320.238456,894,161.85,163.88,158.36,160.19,192517.62763,"2019-05-01 23:59:59.999",30965351.6968463,88509,74.31,75.36,71.78,73.36,273831.04765,"2019-05-01 23:59:59.999",20098972.4966065,51667,62.66,65.64,62.66,65.64,6909.20936,"2019-05-01 23:59:59.999",442896.1330631,2442,0.30855,0.31,0.29992,0.30304,48514885.7,"2019-05-01 23:59:59.999",14743040.140745,62998
"35","2019-05-02",5383.2,5538,5370,5492.87,22795.787835,"2019-05-02 23:59:59.999",124498567.207654,181896,116.95,118.9,114.9,117.13,5429.53051,"2019-05-02 23:59:59.999",637107.1763911,2199,0.2768,0.278,0.273,0.2748,465992.13,"2019-05-02 23:59:59.999",128560.843597,871,160.2,163.48,158.5,161.81,289519.02025,"2019-05-02 23:59:59.999",46716417.0127823,97201,73.35,74.42,72.73,73.68,289626.45366,"2019-05-02 23:59:59.999",21306943.7993429,45010,65.48,66.5,63.92,65.1,7072.43933,"2019-05-02 23:59:59.999",460406.4537975,2205,0.30313,0.30478,0.30072,0.30205,33326988.7,"2019-05-02 23:59:59.999",10088286.686509,51512
"36","2019-05-03",5494.81,5844,5477.57,5772.69,46297.172849,"2019-05-03 23:59:59.999",264435878.92811,338298,116.41,121.57,115.65,120.71,5222.10447,"2019-05-03 23:59:59.999",625838.2516219,2807,0.2747,0.2836,0.268,0.2806,919162.17,"2019-05-03 23:59:59.999",253390.837279,1771,161.82,170.86,160.99,168.06,416357.52123,"2019-05-03 23:59:59.999",69185162.5971677,136042,73.65,80.58,73.31,79.22,538448.40523,"2019-05-03 23:59:59.999",41683556.4117655,89287,65.1,68.58,64.59,67.46,7737.58686,"2019-05-03 23:59:59.999",517808.4444057,2735,0.30206,0.31053,0.3003,0.30784,69197287.9,"2019-05-03 23:59:59.999",21177888.508798,79973
